funding_total_usd,country_code,city,funding_rounds
25000000.0,NorthAm,Houston,1.0
4045500.0,NorthAm,Los Angeles,3.0
113701127.0,NorthAm,Cambridge,6.0
457282.0,NorthAm,Cambridge,7.0
60000000.0,NorthAm,Bridgeville,1.0
5705841.0,NorthAm,Bellingham,3.0
13410901.0,NorthAm,Palo Alto,2.0
28500000.0,NorthAm,Colorado Springs,2.0
225000.0,NorthAm,Kirkland,1.0
25000000.0,NorthAm,Santa Clara,2.0
1560000.0,AS,Hyderabad,1.0
4000000.0,NorthAm,Carlsbad,1.0
3000000.0,EU,Paris,1.0
20209960.0,SouthAm,Itá,2.0
9280000.0,EU,London,4.0
775000.0,NorthAm,Tampa,2.0
2000000.0,AS,Gurgaon,1.0
4500000.0,NorthAm,Irvine,2.0
25305000.0,NorthAm,Santa Clara,4.0
3020000.0,NorthAm,Columbus,3.0
138581610.0,NorthAm,Broomfield,5.0
7131124.0,NorthAm,Itasca,3.0
13793098.0,NorthAm,Mountain View,3.0
58500000.0,NorthAm,Los Angeles,2.0
7380000.0,NorthAm,Rockville,2.0
30000000.0,NorthAm,Saybrook,1.0
46900000.0,NorthAm,Lake Mary,1.0
752500.0,NorthAm,Denver,3.0
1999998.0,NorthAm,Marlborough,1.0
15581502.0,NorthAm,Dallas,2.0
4500000.0,Other,Iasi,1.0
250000.0,NorthAm,Shoreline,1.0
21376001.0,NorthAm,San Diego,6.0
24250000.0,NorthAm,Los Angeles,3.0
1300000.0,NorthAm,Reston,1.0
12000000.0,NorthAm,Somerset,1.0
45000000.0,NorthAm,Lindon,2.0
1155000.0,NorthAm,Los Angeles,2.0
16000000.0,NorthAm,San Jose,1.0
3200000.0,NorthAm,New York,2.0
4500000.0,NorthAm,Ann Arbor,1.0
23000000.0,NorthAm,Boston,2.0
2000000.0,NorthAm,Cambridge,1.0
2800000.0,NorthAm,San Antonio,1.0
5500000.0,NorthAm,Raleigh,3.0
4700000.0,NorthAm,Orchard Park,1.0
4979639.0,NorthAm,Wexford,4.0
90000.0,NorthAm,Columbus,2.0
35000000.0,NorthAm,Menlo Park,1.0
5000000.0,NorthAm,Tampa,1.0
10000000.0,NorthAm,Lake Zurich,1.0
33331814.0,NorthAm,Sunnyvale,3.0
96244444.0,NorthAm,Plymouth Meeting,6.0
20600000.0,NorthAm,Los Altos,2.0
1200000.0,NorthAm,Ann Arbor,1.0
4000000.0,NorthAm,El Segundo,1.0
150000.0,NorthAm,Austin,1.0
158000.0,NorthAm,Texas,2.0
8500000.0,AS,Tokyo,2.0
34072000.0,NorthAm,San Ramon,4.0
150000.0,NorthAm,Palo Alto,2.0
5500000.0,NorthAm,Boston,1.0
15470704.0,NorthAm,San Diego,2.0
32000000.0,NorthAm,Santa Monica,2.0
3315000.0,NorthAm,Denver,1.0
6650000.0,NorthAm,Fort Lauderdale,2.0
4000000.0,NorthAm,Georgetown,2.0
12024769.0,NorthAm,Boca Raton,3.0
